acceptor,n_smiles,donor,p_smiles,pce
BTPR,CCCCCCCCCCCc1c2sc(c(c(nsn3)c3c4c5n(CC(CCCC)CC)c6c4sc7c6sc(/C=C8C(N(CC)C(S\8)=S)=O)c7CCCCCCCCCCC)c5n9CC(CCCC)CC)c9c2sc1/C=C%10C(N(CC)C(S\%10)=S)=O,D18,FC1=C(CC(CCCC)CCCC)SC(C2=C3SC(C)=CC3=C(C4=CC(F)=C(CC(CCCC)CC)S4)C5=C2C=C(C6=C(CC(CCCC)CCCCCC)C=C(C7=CC(C8=NSN=C8C9=C%10SC(C%11=CC(CC(CCCCCC)CCCC)=C(C)S%11)=C9)=C%10S7)S6)S5)=C1,17.8
CH1007,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)[se]c2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)[se]c6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c12,PTzBI-dF,FC(C=C1C2=C3C=C(C)SC3=C(C4=CC(F)=C(S4)CC(CC)CCCC)C5=C2SC(C6=C(F)C=C(C7=C8C(C(N(C8=O)CCCCCCCC)=O)=C(C9=NN(N=C79)CCC(CC)CCCC)C%10=CC(F)=C(C)S%10)S6)=C5)=C(S1)CC(CCCC)CC,17.8
Y6,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,D18-B,CC1=CC2=C(S1)C(C3=CC(F)=C(S3)CC(CC)CCCC)=C4C=C(SC4=C2C5=CC(F)=C(S5)CC(CC)CCCC)C6=C(CCC(CCCCCC)CCCC)C=C(S6)C7=CC8=C(S7)C9=C(C%10=NSN=C%108)C=C(C%11=CC(CCC(CCCC)CCCCCC)=C(S%11)C)S9,17.74
CH-4Cl,CCCCCCCCCCCC1=C(/C=C2C(C3=CC(Cl)=C(Cl)C=C3C\2=C(C#N)/C#N)=O)SC4=C1SC5=C4N(CC(CCCCCCCC)CCCCCC)C(C6=C7C(SC8=C9SC(/C=C%10C(C%11=CC(Cl)=C(Cl)C=C%11C\%10=C(C#N)/C#N)=O)=C8CCCCCCCCCCC)=C9N6CC(CCCCCC)CCCCCCCC)=C5C%12=NC%13=C(N=C7%12)C=C(F)C(F)=C%13,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,17.72
Y6Se,O=C(C1=CC(F)=C(C=C1C/2=C(C#N)\C#N)F)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C6=C(C7=C(N6CC(CC)CCCC)C8=C(C(CCCCCCCCCCC)=C(S8)/C=C9C(C%10=CC(F)=C(C=C%10C\9=C(C#N)\C#N)F)=O)S7)C%11=N[Se]N=C4%11)=C%12N5CC(CCCC)CC)=C%12S3,D18,FC1=C(CC(CCCC)CCCC)SC(C2=C3SC(C)=CC3=C(C4=CC(F)=C(CC(CCCC)CC)S4)C5=C2C=C(C6=C(CC(CCCC)CCCCCC)C=C(C7=CC(C8=NSN=C8C9=C%10SC(C%11=CC(CC(CCCCCC)CCCC)=C(C)S%11)=C9)=C%10S7)S6)S5)=C1,17.7
m-BTP-PhC6,CCCCCCc1cccc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cccc(CCCCCC)c8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CC)CCCC)c5c4n(CC(CC)CCCC)c32)c1,PTQ10,CC(C1=NC(OCC(CCCCCC)CCCCCCCC)=CN=C1C(C2=CC=C(C)S2)=C3F)=C3F,17.7
BTP-T-3Cl,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc9sc(Cl)cc9cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,17.61
BTP-4F-P3EH,CCCCC(CC)CCc1cccc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cccc(CCC(CC)CCCC)c8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CC)CCCC)c5c4n(CC(CC)CCCC)c32)c1,PBDB-T-2F,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,17.57
BTP-S9,O=C(C1=CC2=CC(F)=C(C=C2C=C1C/3=C(C#N)\C#N)F)C3=C/C(SC4=C5SC(C6=C7C8=C(C9=C(N8CC(CCCC)CCCCCC)C%10=C(C(CCCCCCCCC)=C(S%10)/C=C%11C(C%12=CC(Cl)=C(C=C%12C\%11=C(C#N)\C#N)Cl)=O)S9)C%13=NSN=C6%13)=C4N7CC(CCCC)CCCCCC)=C5CCCCCCCCC,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,17.56
Y-BO-FCl,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,17.52
