acceptor,n_smiles,donor,p_smiles,pce
DTPPSe-2F,O=C(C1=CC=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C=C(C8=C(C(C9=CC=C(C=C9)CCCCCC)%10C%11=CC=C(C=C%11)CCCCCC)C(N%12CCCCCCCC)=C(S8)C%13=C%12C=C(/C=C%14C(C%15=CC=C(F)C=C%15C\%14=C(C#N)/C#N)=O)S%13)C%10=C5)[Se]3,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.76
PhO4T-3,CCC#CC#CC#COc1cccc(OC#CC#CC#CCC)c1-c1cc(-c2cc(OCC(CC)CCCC)c(-c3cc(-c4c(OC#CC#CC#CCC)cccc4OC#CC#CC#CCC)c(-c4ccc(/C=C5\C(=O)c6cc7cc(Cl)c(Cl)cc7cc6C5=C(C#N)C#N)s4)s3)cc2OCC(CC)CCCC)sc1-c1ccc(/C=C2\C(=O)c3cc4cc(Cl)c(Cl)cc4cc3C2=C(C#N)C#N)s1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.76
Y6-C3,C=C1/C(=C/c2sc3c(sc4c5c6nsnc6c6c7sc8c(CCCCCCCCCCC)c(/C=C9\C(=O)c%10cc(F)c(F)cc%10C9=C(C#N)C#N)sc8c7n(CCCC(CC)CCCC)c6c5n(CCCC(CC)CCCC)c34)c2CCCCCCCCCCC)C(=O)c2cc(F)c(F)cc21.N#CCC#N,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,13.76
IPT2F-TCl,O=C1C2=CC=CC(F)=C2C(/C1=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7C=C8C(C(S9)=C(C8(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C%12=C9C(SC(/C=C%13/C(C%14=C(F)C=CC=C%14C%13=O)=C(C#N)\C#N)=C%15)=C%15N%12C%16=CC(Cl)=C(CCCCCC)S%16)=C6)=C7S3)=C(C#N)/C#N,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.74
LA16,COc1c2c(c(OC)c3c1C(CCCCc1ccccc1)(CCCCc1ccccc1)c1cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc1-3)C(CCCCc1ccccc1)(CCCCc1ccccc1)c1cc(/C=C3\C(=O)c4cscc4C3=C(C#N)C#N)sc1-2,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,13.74
IE4F-S,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5scc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c5SCC(CC)CCCC)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3scc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)c3SCC(CC)CCCC)sc2-4)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.72
Y6-T ,O=C1C2=CSC=C2/C(C1=CC(S3)=C(CCCCCCCCCCC)C4=C3C5=C(S4)C6=C(C(N7CC(CC)CCCC)=C(C8=NSN=C86)C9=C7C(S%10)=C(S9)C(CCCCCCCCCCC)=C%10C=C%11C(C%12=CSC=C%12/C%11=C(C#N)\C#N)=O)N5CC(CCCC)CC)=C(C#N)/C#N,PNDT-ST,CC1=CC(C=C2C(C3=CC=C(S3)SCC(CCCC)CCCCCC)=C4S5)=C(S1)C(C6=CC=C(S6)SCC(CCCCCC)CCCC)=C2C=C4C=C5C7=CC=C(C8=C9C(C(C%10=C(SC(CCC(CC)CCCC)=C%10C9=O)CCC(CC)CCCC)=O)=C(S8)C%11=CC=C(C)S%11)S7,13.72
PTIC-HD-4Cl-,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(SC3=C4SC(C5=C6C7=C(C8=C(N7CC(CCCCCCCC)CCCCCC)C9=C(C(CCCCCCCCCCC)=C(S9)/C=C%10C(C%11=CC(Cl)=C(Cl)C=C%11C\%10=C(C#N)\C#N)=O)S8)C%12=C5N=C%13C(C(C=CC=C%14)=C%14C%15=C%13C=CC=C%15)=N%12)=C3N6CC(CCCCCC)CCCCCCCC)=C4CCCCCCCCCCC,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.71
TSeTIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cscc7C6=C(C#N)C#N)[se]c5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)[se]c23)cc1,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,13.71
AOIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3c2C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-3sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,PTB7-Th,CCCCC(COC(C1=C(C2=C(SC(C3=CC4=C(C5=C(C(C6=CC=C(S6)CC(CCCC)CC)=C4S3)C=C(S5)C)C7=CC=C(S7)CC(CCCC)CC)=C2S1)C)F)=O)CC,13.7
IDTT-C8-TIC,CCCCCCCCC1(CCCCCCCC)C2=CC(C3=C(C4=C(C=C(S4)/C=C5C(C6=CSC=C6C\5=C(C#N)\C#N)=O)S3)C7(CCCCCCCC)CCCCCCCC)=C7C=C2C(S8)=C1C(S9)=C8C=C9/C=C(C(C%10=CSC=C%11%10)=O)/C%11=C(C#N)\C#N,PBT1-C,O=C(C1=C(SC(CC(CCCC)CC)=C12)CC(CCCC)CC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC=C(CC(CCCC)CCCCCC)C=C8)C(SC(C)=C9)=C9C(C%10=CC=C(CC(CCCC)CCCCCC)C=C%10)=C7S6)S5)=C3C2=O,13.7
TfIF-4Cl,ClC1=CC(C(C/2=C\C3=CC(C4(CCCCCCCC)CCCCCCCC)=C(S3)C5=C4C=C6C(C(C7=C6C=C8C(C9=C(C(CCCCCCCC)8CCCCCCCC)C=C%10C(C(C%11=C%10SC(/C=C%12C(C%13=C(C=C(C(Cl)=C%13)Cl)C\%12=C(C#N)/C#N)=O)=C%11)(CCCCCCCC)CCCCCCCC)=C9)=C7)(CCCCCCCC)CCCCCCCC)=C5)=O)=C(C=C1Cl)C2=C(C#N)/C#N,PM7,ClC1=C(CC(CC)CCCC)SC(C2=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C(C9=CC(Cl)=C(CC(CC)CCCC)S9)C%10=C2C=C(C)S%10)=C1,13.7
BDSePhCl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5ccc(Cl)cc5C4=C(C#N)C#N)sc3-c3[se]c4cc5c6c([se]c5cc4c32)-c2sc(/C=C3\C(=O)c4ccc(Cl)cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,PM7,ClC1=C(CC(CC)CCCC)SC(C2=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C(C9=CC(Cl)=C(CC(CC)CCCC)S9)C%10=C2C=C(C)S%10)=C1,13.68
ZITI-N,CCCCCCC(CCCC)CC1(C2=C(C(CC(CCCCCC)CCCC)(C3=C2C=C(N(C)C4=C5SC(/C=C6C(C7=C(C\6=C(C#N)/C#N)C=C(F)C(F)=C7)=O)=C4)C5=C3)CC(CCCCCC)CCCC)C8=C1C=C(C9=C(N%10C)C=C(/C=C%11C(C%12=C(C\%11=C(C#N)/C#N)C=C(F)C(F)=C%12)=O)S9)C%10=C8)CC(CCCCCC)CCCC,J71,CC1=CC=C(S1)C2=C(C(F)=C(C3=NN(N=C23)CC(CCCCCCCC)CCCCCC)C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC=C(S8)[Si](CCC)(CCC)CCC)=C6S5)C=C(S7)C)C9=CC=C(S9)[Si](CCC)(CCC)CCC)F,13.68
i-Y9-2Cl,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nn(CC(CC)CCCC)nc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.67
Y2,CCCCC(CC)Cn1nc2c(n1)c1c3sc4cc(/C=C5\C(=O)c6cscc6C5=C(C#N)C#N)sc4c3n(CC(CC)CCCC)c1c1c2c2sc3cc(/C=C4\C(=O)c5cscc5C4=C(C#N)C#N)sc3c2n1CC(CC)CCCC,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.64
NITI-HD,O=C(C/1=C\C2=C3C=C(SC3=C(C4=CC5=C(C6=C(C5(CC(CCCCCCCC)CCCCCC)CC(CCCCCC)CCCCCCCC)C7=C(C6(CC(CCCCCC)CCCCCCCC)CC(CCCCCC)CCCCCCCC)C=C(C8=C9C(C=C(S9)CCCCCCCC)=C(S8)/C=C%10C(C%11=C(C\%10=C(C#N)/C#N)C=C(F)C(F)=C%11)=O)C=C7)C=C4)S2)CCCCCCCC)C%12=C(C1=C(C#N)/C#N)C=C(F)C(F)=C%12,BRT,CCCCCCN1C(/C(SC1=S)=C\C2=CC=C(S2)C3=C(C=C(S3)C4=C(C=C(S4)C5=CC6=C(C(C7=CC(CCCCCC)=C(S7)CC(CCCC)CC)=C8C=C(SC8=C6C9=CC(CCCCCC)=C(S9)CC(CCCC)CC)C%10=CC(CCCCCC)=C(S%10)C%11=CC(CCCCCC)=C(S%11)C%12=CC=C(S%12)/C=C%13SC(N(C/%13=O)CCCCCC)=S)S5)CCCCCC)CCCCCC)=O,13.63
BTIC-F-m,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccc(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8ccc(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,PBDB-TF,O=C(C1=C(SC(CCCCCCCC)=C12)CCCCCCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CCCCCCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CCCCCCCC)S%10)=C7S6)S5)=C3C2=O,13.61
Y-BO-ClBr,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(Br)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(Cl)c(Br)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,13.61
DO-4F,CCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc(-c6sc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)cc6OCCCCCCCC)c(OCCCCCCCC)c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.6
ITC-2Cl,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7c(csc7Cl)C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5c(csc5Cl)C4=C(C#N)C#N)sc23)cc1,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,13.6
a-BTTIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4\C(=O)c5c(csc5C)C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(CC(CC)CCCC)s5)c5c6c(sc5c(-c5ccc(CC(CC)CCCC)s5)c4c32)-c2sc3cc(/C=C4\C(=O)c5c(csc5C)C4=C(C#N)C#N)sc3c2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.6
BTP-TC,CCCCCCCCC(CN1C2=C(C3=NSN=C3C4=C2N(CC(CCCCCC)CCCCCCCC)C5=C4SC6=C5SC(/C=C7/C(C8=CSC=C8C7=O)=C(C#N)/C#N)=C6CCCCCCCCCCC)C(S9)=C1C%10=C9C(CCCCCCCCCCC)=C(/C=C%11/C(C%12=CSC=C%12C%11=O)=C(C#N)/C#N)S%10)CCCCCC,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.57
DBT-HD,CCCCCCCCC(CCCCCC)COc1cc(-c2cc3c(s2)c2sc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)cc2n3C(CCCCCCCC)CCCCCCCC)c(OCC(CCCCCC)CCCCCCCC)cc1-c1cc(CCCCCC)c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)s1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.57
Y1,CCCCC(CC)Cn1nc2c(n1)c1c3sc4cc(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)sc4c3n(CC(CC)CCCC)c1c1c2c2sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3c2n1CC(CC)CCCC,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.57
Spiro-F,CCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1C(CCCCCCCC)(CCCCCCCC)c1cc3c(cc1-2)C1(CC(CCCCCCCC)C(CCCCCCCC)C1)c1cc2c(cc1-3)C(CCCCCCCC)(CCCCCCCC)c1c-2sc(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)c1CCCCCCCC,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,13.56
UF-EH-2F,CCCCC(CC)COc1cc(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(CC(CC)CCCC)CC(CC)CCCC)c(OCC(CC)CCCC)cc1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc1C2(CC(CC)CCCC)CC(CC)CCCC,J52,CC1=CC2=C(C3=C(C(C4=CC=C(S4)CC(CC)CCCC)=C2S1)C=C(S3)C5=CC=C(S5)C6=C(C(F)=C(C7=NN(N=C67)CC(CCCCCC)CCCCCCCC)C8=CC=C(S8)C)F)C9=CC=C(S9)CC(CC)CCCC,13.56
CH3COO-C6,CCCCC(CC)COc1cc(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(CC(CC)CCCC)CC(CC)CCCC)c(OCCCCOC(C)=O)cc1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)cc1C2(CC(CC)CCCC)CC(CC)CCCC,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.55
IT-4F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,PM7,ClC1=C(CC(CC)CCCC)SC(C2=C(SC(C3=CC=C(C4=C5C(C(C6=C(CC(CC)CCCC)SC(CC(CCCC)CC)=C6C5=O)=O)=C(C7=CC=C(C)S7)S4)S3)=C8)C8=C(C9=CC(Cl)=C(CC(CC)CCCC)S9)C%10=C2C=C(C)S%10)=C1,13.53
BZ4F-O-1,CCCCCCOc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c3c4nn(CC(CC)CCCC)nc4c4c5sc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)c(OCCCCCC)c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c12,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,13.5
C8T-BDSe4Cl ,O=C1C(/C(C2=C1C=C(Cl)C(Cl)=C2)=C(C#N)/C#N)=C\C(S3)=CC4=C3C([Se]C5=C6C7=CC=C(CC(CCCC)CC)S7)=C(C4(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)C5=C(C%10=CC=C(CC(CCCC)CC)S%10)C%11=C6C(C(C%12=CC=C(CCCCCC)C=C%12)(C%13=CC=C(CCCCCC)C=C%13)C%14=C%15SC(/C=C(/C(C%16=C%17C=C(Cl)C(Cl)=C%16)=C(C#N)/C#N)C%17=O)=C%14)=C%15[Se]%11,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,13.5
COBDT-4Cl,CCCCCCCCOc1c2sc3c(c2c(CCCCCCCC)c2sc4c(c12)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c5cc(Cl)c(Cl)cc5C2=C(C#N)C#N)sc1-4)C(c1ccc(CCCCCC)cc1)(c1ccc(CCCCCC)cc1)c1cc(/C=C2\C(=O)c4cc(Cl)c(Cl)cc4C2=C(C#N)C#N)sc1-3,PM6,O=C(C1=C(SC(CC(CC)CCCC)=C12)CC(CC)CCCC)C3=C(C4=CC=C(C)S4)SC(C5=CC=C(C6=CC7=C(C8=CC(F)=C(CC(CC)CCCC)S8)C(SC(C)=C9)=C9C(C%10=CC(F)=C(CC(CC)CCCC)S%10)=C7S6)S5)=C3C2=O,13.5
IDCIC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3c(sc4cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc34)-c3sc4c(c(CCCCCC)cc5c4cc(CCCCCC)c4c6c(sc45)-c4sc5cc(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc5c4C6(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)c32)cc1,FTAZ,CC1=CC2=C(C3=C(C(CCC(CCCCCC)CCCC)=C2S1)C=C(S3)C4=CC=C(S4)C5=C(C(F)=C(C6=NN(N=C56)CC(CCCC)CCCCCC)C7=CC=C(S7)C)F)CCC(CCCC)CCCCCC,13.5
DTSiC-4Cl,ClC(C=C1C(/C2=C/C3=CC([Si](C4=C5C=C6C(C(C(N6C(CCCCCCCC)CCCCCCCC)=C7)=CC8=C7C(SC(/C=C9/C(C%10=CC(Cl)=C(C=C%10C9=O)Cl)=C(C#N)/C#N)=C%11)=C%11[Si]8(CCCCCCCC)CCCCCCCC)=C4)(CCCCCCCC)CCCCCCCC)=C5S3)=C(C#N)\C#N)=C(C=C1C2=O)Cl,T1,O=C1C2=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C2C(C3=C(C4=CC=C(C(S5)=CC(C5=C6C7=CC(F)=C(CC(CC)CCCC)S7)=C(C8=CC(F)=C(CC(CCCC)CC)S8)C9=C6C=C(C%10=CC(C(OCC)=O)=C(C)S%10)S9)S4)SC(C%11=CC=C(C%12=CC%13=C(C(C%14=CC(F)=C(CC(CCCC)CC)S%14)=C(C=C(C)S%15)C%15=C%13C%16=CC(F)=C(CC(CC)CCCC)S%16)S%12)S%11)=C31)=O,13.49
IDTTC,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7sc8ccsc8c7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5sc6ccsc6c5C4=C(C#N)C#N)sc23)cc1,PBDB-T,CCCCC(CC1=CC=C(C2=C3SC(C)=CC3=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=CC=C(C(SC(C7=CC=C(C)S7)=C89)=C9C(C%10=C(SC(CC(CC)CCCC)=C%10C8=O)CC(CC)CCCC)=O)S6)S5)S1)CC,13.49
MO-IDIC-2F,CCCCCCC1(c2c(c3c1c(OC)c(c4c(C5(CCCCCC)CCCCCC)cc(/C=C6C(c7c(C\6=C(C#N)/C#N)c(F)ccc7)=O)s4)c5c3OC)sc(/C=C8C(c9c(C\8=C(C#N)/C#N)c(F)ccc9)=O)c2)CCCCCC,PTQ10,CC(C1=NC(OCC(CCCCCC)CCCCCCCC)=CN=C1C(C2=CC=C(C)S2)=C3F)=C3F,13.46
Y10,O=C(C1=CSC=C1C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCCCCCCC)C(SC(C4=C5C(N(C6=C7SC8=C6SC(/C=C9/C(C%10=CSC=C%10C9=O)=C(C#N)\C#N)=C8CCCCCCCCCCC)CC(CC)CCCC)=C7C%11=NSN=C4%11)=C%12N5CC(CC)CCCC)=C%12S3,J11,FC(C(F)=C(C1=NN(N=C21)CC(CCCCCC)CCCCCCCC)C3=CC=C(S3)C4=CC5=C(C6=C(C(C7=CC(CCCCCCCC)=C(S7)Cl)=C5S4)C=C(C)S6)C8=CC(CCCCCCCC)=C(S8)Cl)=C2C9=CC=C(C)S9,13.46
