n(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV),M (g/mol),HOMO_n(eV),'-LUMO_n(eV)
CCCCC(COC1=C2C3=C(C(SC(/C=C4/C(C(C=C5Cl)=C(C4=O)C=C5Cl)=C(C#N)\C#N)=C6)=C6C(C(C=C7)=CC=C7CCCCCC)3C(C=C8)=CC=C8CCCCCC)SC2=C(C9=C1SC%10=C9C(C(C=C%11)=CC=C%11CCCCCC)(C(C=C%12)=CC=C%12CCCCCC)C%13=C%10SC(/C=C%14C(C(C=C(Cl)C(Cl)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)OCC(CC)CCCC)CC,10.8,10.8,22.3,0.7,0.695,1.4,1822.15,5.49,4.09
CCCCCC(N(C(C1=CC=C2C(C=CC34)=C5C4C(C(N(C6=CC=C(C7(CCCCC7)C8=CC=C(N(C9=O)C(C%10=CC=C%11C%12=C(C%13=CC=C(C%14=C%13C%11=CC=C%15%14)C(N(C%15=O)C(CCCCC)CCCCC)=O)C=CC9C%10%12)=O)C=C8)C=C6)C3=O)=O)=CC=C5C%16=CC=C%17C1=C2%16)=O)C%17=O)CCCCC,5.28,5.28,10.04,0.602,0.87,2.18,1325.66,6.16,3.98
CCCCCCC(C1=C2SC(/C=C3C(C(C=CC(F)=C4)=C4C\3=C(C#N)\C#N)=O)=C1)(CCCCCC)C5=C2C(OC)=C(C(CCCCCC)(CCCCCC)C6=C7SC(/C=C8/C(C9=C(C8=O)C=CC(F)=C9)=C(C#N)/C#N)=C6)C7=C5OC,13.46,13.1,19.87,0.748,0.906,1.87,1107.43,5.8,3.93
CCCCCCC(C1=C2SC(/C=C3C(C(C=CC=C4)=C4C\3=C(C#N)\C#N)=O)=C1)(CCCCCC)C5=C2C(OC)=C(C(CCCCCC)(CCCCCC)C6=C7SC(/C=C8/C(C9=C(C8=O)C=CC=C9)=C(C#N)/C#N)=C6)C7=C5OC,11.16,10.95,16.92,0.681,0.969,1.8,1071.45,5.69,3.89
CCCCCCC(C1=C2SC(C3=NC=C(/C=C4SC(N(C/4=O)CC)=S)S3)=C1)(CCCCCC)C5=C2C=C(C(CCCCCC)(CCCCCC)C6=C7SC(C8=NC=C(/C=C9SC(N(C/9=O)CC)=S)S8)=C6)C7=C5,3.53,3.41,6.29,0.525,1.04,1.89,1111.7,5.31,3.42
CCCCCCC(C=C1)=C(F)C=C1C2(C3=CC=C(CCCCCC)C(F)=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C(F)=C%10)C%11=CC=C(CCCCCC)C(F)=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,9.01,8.87,13.49,0.71,0.94,1.8,1499.92,5.710000000000001,3.945
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=C(F)C(F)=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=C3SC7=C6C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C(C7=C%10)=CC%11=C%10C(C%12=C%11SC%13=C%12C(C%14=C%13SC(/C=C%15C(C(C=C(F)C(F)=C%16)=C%16C\%15=C(C#N)\C#N)=O)=C%14)(C%17=CC=C(CCCCCC)C=C%17)C%18=CC=C(CCCCCC)C=C%18)(C%19=CC=C(CCCCCC)C=C%19)C%20=CC=C(CCCCCC)C=C%20)C%21=CC=C(CCCCCC)C=C%21,4.48,4.06,10.77,0.515,0.758,1.46,2217.06,5.32,3.86
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C/4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCCCC)C=C6)C7=C3C=C(N(C(CCCCCCCC)CCCCCCCC)C8=CC9=C(C(C%10=C9SC(/C=C%11C(C(C=CC=C%12)=C%12C/%11=C(C#N)/C#N)=O)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCCCC)C=C%14)C=C%158)C%15=C7,9.48,9.25,14.27,0.678,0.97,1.81,1699.46,5.46,3.65
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C(C3=CC=C89)C8=C(C%10=CC=C%11C%12=C(C(C%13=C%11SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)C=CC9=C%12%10)C=C7,2.17,1.95,6.43,0.405,0.834,1.44,1489.99,5.31,3.87
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=CC8=CC=C(C9=C(C%10(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)\C#N)=O)S9)C%15=C8C%16=C(C=C%15%10)C=CC3=C7%16,10.37,10.14,17.32,0.666,0.9,1.78,1439.93,5.63,3.85
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=CC=C8C9=C7C3=CC=C9C(C%10=C8SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14,5.45,5.16,9.33,0.6,0.974,2.06,1365.85,5.88,3.82
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C5=C(C)SC=C5C\4=C(C#N)\C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=C9SC%10=C8SC%11=C%10SC(/C=C%12C(C%13=C(C)SC=C%13C\%12=C(C#N)\C#N)=O)=C%11)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C9=C7,12.55,12.37,20.81,0.709,0.85,1.7,1468.05,5.59,3.89
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(CC(CC)CCCC)C=C(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C(S%11)=C(C=C%11/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)CC(CC)CCCC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,7.3,7.1,15.05,0.48,1.02,1.57,1704.46,5.424,3.848
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(CCCCCCCC)C=C(/C=C5S/C(N(C\5=O)CC)=C(C#N)/C#N)S4)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=C9SC(C%10=C(C=C(/C=C%11S/C(N(C\%11=O)CC)=C(C#N)/C#N)S%10)CCCCCCCC)=C8)(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C9=C7,2.64,2.64,5.87,0.56,0.9,1.91,1702.53,5.5,3.59
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C(C=C5C(C(C=C(Cl)C(Cl)=C6)=C6/C5=C(C#N)/C#N)=O)=CS4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=C(C(/C=C%12\C(C%13=C(C%12=O)C=C(Cl)C(Cl)=C%13)=C(C#N)\C#N)=CS%11)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,10.3,10.0,22.8,0.62,0.727,1.33,1874.23,5.56,4.23
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C(C=C5C(C(C=C(F)C(F)=C6)=C6/C5=C(C#N)/C#N)=O)=CS4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=C(C(/C=C%12\C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)\C#N)=CS%11)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,13.18,12.76,22.86,0.679,0.849,1.56,1808.42,5.75,4.19
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C(C=C5C(C(C=CC=C6)=C6/C5=C(C#N)/C#N)=O)=CS4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=C(C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)=CS%11)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,10.48,10.26,18.76,0.582,0.96,1.63,1736.46,5.316666666666666,3.8683333333333336
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C=C(/C=C5C(C(C=C(F)C(F)=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C(S%11)=C(C=C%11/C=C%12/C(C(C=C%13F)=C(C%12=O)C=C%13F)=C(C#N)/C#N)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,12.8,12.1,27.3,0.657,0.712,1.25,1808.42,5.427777777777778,4.166111111111111
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCC(CC)CCCC)C=C(/C=C5C(C(C=CC=C6)=C6C/5=C(C#N)/C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=C(C=C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)S%11)OCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,5.13,4.88,11.39,0.517,0.872,1.4,1736.46,5.31,3.91
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(OCCCCCCCC)C=C(/C=C5S/C(N(C\5=O)CC)=C(C#N)/C#N)S4)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=C9SC(C%10=C(C=C(/C=C%11S/C(N(C\%11=O)CC)=C(C#N)/C#N)S%10)OCCCCCCCC)=C8)(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C9=C7,6.4,6.4,11.5,0.623,0.87,1.81,1734.52,5.37,3.56
CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(SCC(CC)CCCC)C=C(/C=C5/C(C(C=C6F)=C(C5=O)C=C6F)=C(C#N)/C#N)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C%11=C(C=C(/C=C%12C(C(C=C(C(F)=C%13)F)=C%13C\%12=C(C#N)\C#N)=O)S%11)SCC(CCCC)CC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,13.2,13.1,25.3,0.693,0.75,1.49,1840.55,5.54,4.05
