p(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV).1,Mw (kg/mol),Mn(kg/mol),PDI,HOMO_n(eV).1,'-LUMO_n(eV).1
CC(S1)=CC=C1C(S2)=C(C(C3=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C3C4=O)=O)C4=C2C5=CC=C(C6=CC(B(C7=CC=CC=C7)N(CC(CCCCCC)CCCCCCCC)C8=C9C=C%10C(C(SC(C)=C%11)=C%11B(C%12=CC=CC=C%12)N%10CC(CCCCCC)CCCCCCCC)=C8)=C9S6)S5,16.1,15.9,25.4,0.71,0.87,2.06,112.1,59.0,1.9,5.52,3.46
CC(S1)=CC=C1C(S2)=C(OCCOCCOCC)C=C2C3=CC=C(C4=CC(OCCOCCOCC)=C(C)S4)S3,0.22,0.16,0.92,0.3,0.78,1.76,50.0,25.0,2.0,4.74,2.98
CC(S1)=CC=C1C2=C(F)C(F)=C(C)C3=NC(C)=C(OCC(CCCCCCCC)CCCCCC)N=C23,16.32,16.09,24.79,0.748,0.88,2.76,74.8,35.6,2.1,5.52,2.76
CC(S1)=CC=C1C2=C(OCC(CCCCCC)CCCCCCCC)C=C(C3=CC=C(C4=C(F)C(F)=C(C)C5=NSN=C45)S3)C(OCC(CCCCCCCC)CCCCCC)=C2,7.2,7.1,13.32,0.59,0.91,1.76,119.3,42.6,2.8,5.445,3.685
CC(S1)=CC=C1C2=CC=C(C)C3=NC=C(OCC(CCCCCCCC)CCCCCC)N=C23,5.75,5.69,18.65,0.434,0.71,2.56,45.1,19.6,2.3,5.38,2.82
CC(SC1=C2C(C=C3)=CC=C3CC(CC)CCCC)=CC1=C(C(C=C4)=CC=C4CC(CC)CCCC)C5=C2C=C(S5)C6=CC=C(C(C7=NN(CCCCCCCC)N=C7C(C8=CC=C(C)S8)=C9C(N%10CCCCCCCC)=O)=C9C%10=O)S6,7.42,7.3,15.92,0.548,0.85,2.15,64.5,25.6,2.52,5.26,3.11
CC(SC1=C2C(C=C3F)=CC(F)=C3CC(CC)CCCC)=CC1=C(C4=CC(F)=C(C(F)=C4)CC(CC)CCCC)C5=C2C=C(S5)C6=CC=C(C(C7=NN(CCC(CC)CCCC)N=C87)=C(C(N9CCCCCCCC)=O)C(C9=O)=C8C%10=CC=C(C)S%10)S6,15.65,15.5,26.11,0.733,0.81,2.32,50.0,25.0,2.0,5.46,3.14
CC(SC1=C2C3=C(Cl)C(Cl)=C(CC(CC)CCCC)S3)=CC1=C(C4=C(Cl)C(Cl)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C(F)C(F)=C(C8=CC=C(C)S8)C9=NN(CC(CCCCCC)CCCCCCCC)N=C97)S6,9.25,9.25,16.42,0.587,0.96,2.07,66.8,31.1,2.15,5.64,3.57
CC(SC1=C2C3=CC(C=C(CC(CCCC)CCCCCC)C=C4)=C4S3)=CC1=C(C5=CC(C=C(CC(CCCC)CCCCCC)C=C6)=C6S5)C7=C2C=C(S7)C8=CC=C(C9=C%10C(C(C%11=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%11C%10=O)=O)=C(C%12=CC=C(C)S%12)S9)S8,12.1,11.68,17.63,0.69,0.96,1.8,27.4,13.5,2.03,5.36,3.56
CC(SC1=C2C3=CC(CCCCCCCC)=C(CCCCCCCC)S3)=CC1=C(C4=CC(CCCCC5)=C(CCCCCCCC)S4)C6=C2C=C(S6)C7=CC=C(C(C(F)=C8)=C9C(N=C(C(C%10=CC(OCCC5(CC)CCCCC)=CC=C%10)=N9)C%11=CC=CC(OCCCCCCCC)=C%11)=C8C%12=CC=C(C)S%12)S7,7.81,7.75,15.14,0.586,0.88,2.34,863.6,136.0,6.35,5.37,3.03
